title, location, city, date, start_time, end_time, team, type
repetitie, de ark, hendrik-ido-ambacht, 2021-08-19, 19:45, 22:15, all, rehearsal
de kuip videoclip, de kuip, rotterdam, 2021-09-18, 9:00, 14:00, all, recording
when love takes over teaser opbouwen, cascade, hendrik-ido-ambacht, 2021-11-11, 13:00, 20:00, techniek, preparation
when love takes over teaser, cascade, hendrik-ido-ambacht, 2021-11-11, 20:00, 22:00, "all, audience", show
online kerstborrel, zoom, online, 2021-12-23, 20:00, 21:30, all, rehearsal
fix you videoclip, cascade, hendrik-ido-ambacht, 2022-02-06, 10:00, 13:00, all, recording
sjouwen zolder, gerrit hendrixlaan 13, hendrik-ido-ambacht, 2022-02-13, 13:00, 14:00, styling_commission, meeting
repetitie, cascade, hendrik-ido-ambacht, 2022-03-17, 19:45, 22:15, all, rehearsal
repetitie, cascade, hendrik-ido-ambacht, 2022-03-24, 19:45, 22:15, all, rehearsal
repetitie, cascade, hendrik-ido-ambacht, 2022-04-07, 19:45, 22:15, all, rehearsal
bestuursvergadering, gerrit hendrixlaan 13, hendrik-ido-ambacht, 2022-03-09, 20:00, 23:00, board, meeting
alphens korenfestival, grote plein, alphen aan den rijn, 2022-05-07, 11:00, 17:00, "all, audience", festival
volkoren korenfestival, stadhuisplein, middelburg, 2022-06-04, 11:00, 17:00, "all, audience", festival
rotjekoor, stadhuisplein, rotterdam, 2022-06-18, 11:00, 17:00, "all, audience", festival
korenfestival, grote kerk, scheveningen, 2022-09-24, 11:00, 17:00, "all, audience", festival
re-flax 20 opbouwen, cascade, hendrik-ido-ambacht, 2022-11-04, 15:00, 19:00, techniek, preparation
re-flax 20 generale repetitie, cascade, hendrik-ido-ambacht, 2022-11-04, 19:00, 23:00, all, rehearsal
re-flax 20 opbouwen, cascade, hendrik-ido-ambacht, 2022-11-04, 15:00, 20:00, techniek, preparation
re-flax 20 show 1, cascade, hendrik-ido-ambacht, 2022-11-05, 20:00, 22:00, "all, audience", show
re-flax 20 show 2, cascade, hendrik-ido-ambacht, 2022-11-06, 15:00, 17:00, "all, audience", show
re-flax 20 show 3, cascade, hendrik-ido-ambacht, 2022-11-06, 20:00, 22:00, "all, audience", show
re-flax 20 reprise, kunstmin, dordrecht, 2023-03-01, 20:00, 22:00, "all, audience", show